element_a,element_b,result,sources
canines,fish,sharks,clones
canines,tools,saw,clones
cannon,fire,cannonball,infinite-craft
cannon,gun,machine gun,infinite-craft
cannon,meme,rickroll,infinite-craft
cannon,port,fort,clones
cannon,water,battle cruiser,clones
canvas,human,painter,little-alchemy
canvas,paint,painting,little-alchemy
canvas,painter,painting,little-alchemy
canvas,stick,sail,clones
canvas,stick,sail (doodle god),clones
caoutchouc,sulfur,ebonit,clones
caoutchouc,volcano,rubber,clones
captain america,iron man,civil war,infinite-craft
captain hook,disney,peter pan,infinite-craft
captain hook,peter pan,hook,infinite-craft
car,car,bus,little-alchemy
car,caterpillar platform,all-terrain vehicle,clones
car,city,bus,little-alchemy
car,container,garage,little-alchemy
car,cow,lamborghini,clones
car,cow,tractor,little-alchemy
car,doctor,ambulance,little-alchemy
car,earth,road,clones
car,earth,tire,infinite-craft
car,electricity,electric car,little-alchemy
car,electricity,hybrid vehicle,clones
car,electricity,tesla,infinite-craft
car,engine,racecar,infinite-craft
car,farmer,tractor,little-alchemy
car,field,tractor,little-alchemy
car,fire,firetruck,little-alchemy
car,fire extinguisher,firetruck,little-alchemy
car,firefighter,firetruck,little-alchemy
car,fireman,firetruck,little-alchemy
car,forest,jeep,clones
car,france,renault,clones
car,germany,bmw,clones
car,glacier,snowmobile,little-alchemy
car,gun,panzer,clones
car,gun,tank,little-alchemy
car,horse,ferrari,clones
car,hospital,ambulance,clones;little-alchemy
car,house,garage,infinite-craft;little-alchemy
car,house,rv,little-alchemy
car,ice,snowmobile,little-alchemy
car,ice cream,ice cream truck,little-alchemy
car,italy,fiat,clones
car,james bond 007,aston martin,clones
car,japan,toyota,clones
car,letter,mail truck,little-alchemy
car,life,transformers,clones
car,mailman,mail truck,little-alchemy
car,man,bus,clones
car,metal,tank,little-alchemy
car,money,parking meter,clones
car,moon,moon rover,little-alchemy
car,moon,moonrover,clones
car,motorcycle,atv,clones
car,mountain,cable car,little-alchemy
car,mountain range,cable car,little-alchemy
car,mud,rally,infinite-craft
car,needle,sewing machine,clones
car,new york,taxi,infinite-craft
car,nitrogen,nitro,clones
car,order,traffic lights,clones
car,park,roller coaster,little-alchemy
car,post office,mail truck,little-alchemy
car,road,steering wheel,clones
car,robot,transformer,clones
car,shovel,excavator,clones;little-alchemy
car,sick,ambulance,clones
car,snow,snowmobile,little-alchemy
car,solar cell,electric car,little-alchemy
car,soldier,troop-carrier,clones
car,sound,klaxon,clones
car,space,spaceship,little-alchemy
car,star,mercedes,clones
car,steel,tank,little-alchemy
car,swamp,tractor,clones
car,tornado,formula 1,clones
car,train,bus,little-alchemy
car,usa,ford,clones
car,void,moon lander,clones
car,wall,garage,little-alchemy
car,wind,sportscar,clones
car,wind turbine,electric car,little-alchemy
caramel,chocolate,caramelo,little-alchemy
caramel,orchard,caramel apple,little-alchemy
caramelo,cookie,twix,little-alchemy
carbon,hydrogen,hydrocarbon,clones
carbon,iron,cast iron,clones
carbon,potassium nitrate + sulfur,gunpowder,clones
carbon,stone,diamond,clones
carbon,zinc,znc battery,clones
carbon dioxide,cold,dry ice,clones;little-alchemy
carbon dioxide,fire,fire extinguisher,little-alchemy
carbon dioxide,forest,oxygen,clones
carbon dioxide,grass,oxygen,little-alchemy
carbon dioxide,grove,grove,clones
carbon dioxide,grove,oxygen,clones
carbon dioxide,ice,dry ice,little-alchemy
carbon dioxide,juice,soda,little-alchemy
carbon dioxide,metal,fire extinguisher,little-alchemy
carbon dioxide,philosophy,small,little-alchemy
carbon dioxide,plant,oxygen,little-alchemy
carbon dioxide,pressure,fire extinguisher,little-alchemy
carbon dioxide,sodium hydroxide,soda,clones
carbon dioxide,sodium hydroxide,water,clones
carbon dioxide,steel,fire extinguisher,little-alchemy
carbon dioxide,tea,soda,little-alchemy
carbon dioxide,tree,oxygen,clones;little-alchemy
carbon dioxide,tree,tree,clones
carbon dioxide,water,aerated water,clones
carbon dioxide,water,soda,little-alchemy
carbon dioxide,water,soda water,clones
carbon dioxide,wine,champagne,clones
carcass,flintstone,bones and meat,clones
carcass,knife,sinew and meat and skin,clones
card,card,royal flush,clones
card,cartoon,master dueler,clones
card,cat,astro gang,clones
card,celebration,greeting card,clones
card,chinchilla,mecha chinzilla,clones
card,cursed,the gambler,clones
card,darkness,tarot reading,clones
card,death,haunted house of cards,clones
card,demon,haunted house of cards,clones
card,desert,trading card,clones
card,destruction,credit card,clones
card,dog,ninja doge,clones
card,dragon,white-eyed dragon,clones
card,earth,opal flower,clones
card,elf,trading card,clones
card,energy,opal flower,clones
card,extraterrestrial,psychic clone,clones
card,fairy,trading card,clones
card,fairy tale,card soldiers,clones
card,fire,fire sigil,clones
card,fish,gone fishin',clones
card,food,pastry cat,clones
card,galaxy wars,cryo smuggler,clones
card,giant,trading card,clones
card,golem,trading card,clones
card,halloween,haunted house of cards,clones
card,hammer,card soldiers,clones
card,healing,greeting card,clones
card,holidays,greeting card,clones
card,holy water,gone fishin',clones
card,hopefulness,greeting card,clones
card,horn,white-eyed dragon,clones
card,horse,pinata,clones
card,human,the gambler,clones
card,hybrid,man of many suits,clones
card,ice,frostwing,clones
card,immortality,opal flower,clones
card,insect,plantasaur,clones
card,invention,memory card,clones
card,knight,card soldiers,clones
card,knowledge,tarot reading,clones
card,leader,man of many suits,clones
card,life,greeting card,clones
card,love,credit card,clones
card,madness,the gambler,clones
card,magic,magicianbot,clones
card,medieval,royal flush,clones
card,metal,memory card,clones
card,mind control,tarot reading,clones
card,miniature,memory card,clones
card,monster,white-eyed dragon,clones
card,moon,haunted house of cards,clones
card,multiples,royal flush,clones
card,music,greeting card,clones
card,myth,tarot reading,clones
card,parasite,credit card,clones
card,plant,opal flower,clones
card,pocket pet,credit card,clones
card,precious ring lore,trading card,clones
card,prehistoric,white-eyed dragon,clones
card,psychic,tarot reading,clones
card,radiation,memory card,clones
card,rainbow,greeting card,clones
card,relic,ancient scrolls,clones
card,reptile,cobramon,clones
card,robot,memory card,clones
card,royal game,royal flush,clones
card,royalty,royal flush,clones
card,sci-fi,memory card,clones
card,science,memory card,clones
card,shrine,tarot reading,clones
card,sidekick,card soldiers,clones
card,sleep,tarot reading,clones
card,snake,cobramon,clones
card,space,cryo smuggler,clones
card,speed,the gambler,clones
card,spirit,haunted house of cards,clones
card,strength,the gambler,clones
card,sun,opal flower,clones
card,superhero,man of many suits,clones
card,sweets,candy hearts,clones
card,sword,card soldiers,clones
card,the chosen one,master dueler,clones
card,time,gone fishin',clones
card,toy,master dueler,clones
card,tree,professor pine,clones
card,trident,gone fishin',clones
card,turkey day,greeting card,clones
card,turtle,bubbles,clones
card,undead,haunted house of cards,clones
card,underground,bomb shelter,clones
card,underwater,gone fishin',clones
card,vampire,haunted house of cards,clones
card,vehicle,demonic bike,clones
card,villain,white-eyed dragon,clones
card,void,tarot reading,clones
card,war,card soldiers,clones
card,water,gone fishin',clones
card,water serpent,cobramon,clones
card,wealth,credit card,clones
card,weapon,card soldiers,clones
card,werewolf,haunted house of cards,clones
card,wind,frostwing,clones
card,wings,white-eyed dragon,clones
card,wintertide,stone hearth,clones
card,wizard,magicianbot,clones
card,wizarding school,chocolate lizards,clones
card,wolf,ninja doge,clones
cards,clown,joker,clones
cards,firefox,cardsharper,clones
carmine,diamond,ruby,clones
carmine,soda water,coca-cola,clones
carmine,uncut diamond,ruby,clones
carnival,flag,brazil,clones
carousel,theater,circus,clones
carrot,snow,snowman,little-alchemy
carrot,snowball,snowman,little-alchemy
cart,combustion engine,car,clones;little-alchemy
cart,cow,wagon,little-alchemy
cart,engine,car,clones
cart,fabric,wagon,little-alchemy
cart,horse,wagon,little-alchemy
cart,horses,stagecoach,clones
cart,house,wagon,little-alchemy
cart,ice,sleigh,little-alchemy
cart,livestock,team,clones
cart,mountain,roller coaster,little-alchemy
cart,oil,car,clones
cart,park,roller coaster,little-alchemy
cart,princess,coach,clones
cart,shopping,shopping cart,clones
cart,skis,sledge,clones
cart,skis,sledge (alchemy classic),clones
cart,snow,sledge,little-alchemy
cart,snow,sleigh,little-alchemy
cart,steam engine,locomobile,clones
cart,steam engine,locomotive,clones
cart,steam-engine,locomotive,clones
cart,steamengine,locomotive,clones
cart,wall,wagon,little-alchemy
cart,warrior,chariot,clones
cartoon,cat,meowmon,clones
cartoon,celebration,astro gang,clones
cartoon,chinchilla,pikamon,clones
cartoon,cursed,cursed aztec prince,clones
cartoon,darkness,the dadabook,clones
cartoon,death,mr. beetleson,clones
cartoon,deer,bambi,clones
cartoon,demon,skeleton overlord,clones
cartoon,desert,desert shrew,clones
cartoon,destruction,titan of destruction,clones
cartoon,dog,jack the dog,clones
cartoon,dragon,ember,clones
cartoon,dysfunctional,simpsons,infinite-craft
cartoon,earth,planet commander,clones
cartoon,elf,blue folk,clones
cartoon,energy,pikamon,clones
cartoon,extraterrestrial,bumpy princess,clones
cartoon,fairy,fairy godmother,clones
cartoon,fairy tale,ogre princess,clones
cartoon,fire,ember,clones
cartoon,fish,magicod,clones
cartoon,food,food squad,clones
cartoon,galaxy wars,chin trooper,clones
cartoon,genie,aladdin,clones
cartoon,giant,snoring monster,clones
cartoon,golem,gargoyle,clones
cartoon,halloween,mr. beetleson,clones
cartoon,hammer,hammer time,clones
cartoon,healing,healthbot hero,clones
cartoon,holidays,rudolph,clones
cartoon,holy water,medic,clones
cartoon,hopefulness,planet commander,clones
cartoon,horn,speed demon,clones
cartoon,horse,my mini horse,clones
cartoon,human,adventure kid,clones
cartoon,hybrid,fused martial artists,clones
cartoon,ice,bubbles,clones
cartoon,ice,ice age,clones
cartoon,immortality,mumbling kid,clones
cartoon,insect,mr. beetleson,clones
cartoon,invention,rex's lab,clones
cartoon,japan,anime,clones
cartoon,jungle,lion prince,clones
cartoon,knight,sword prince,clones
cartoon,knowledge,rex's lab,clones
cartoon,leader,sensei rat,clones
cartoon,life,gummy duo,clones
cartoon,love,moon heroine,clones
cartoon,madness,ice king,clones
cartoon,magic,skeleton overlord,clones
cartoon,martial arts,samurai hero,clones
cartoon,medieval,bouncy bears,clones
cartoon,metal,transformobot,clones
cartoon,mind control,hypnoturtle,clones
cartoon,miniature,protozoan villain,clones
cartoon,monkey,momo x,clones
cartoon,monster,skeleton overlord,clones
cartoon,moon,moon heroine,clones
cartoon,multiples,villain groupies,clones
cartoon,music,gem,clones
cartoon,mutant,shrek,clones
cartoon,mutation,mutated rhino,clones
cartoon,parasite,mind slug,clones
cartoon,pirate,demon puncher,clones
cartoon,plant,killer vegetables,clones
cartoon,pocket pet,astro gang,clones
cartoon,poison,radioactive avenger,clones
cartoon,prehistoric,pup,clones
cartoon,psychic,professor y,clones
cartoon,radiation,radioactive avenger,clones
cartoon,rainbow,rainbow girl,clones
cartoon,relic,omni igniter,clones
cartoon,reptile,ember,clones
cartoon,robot,catron,clones
cartoon,rodent,genius and insane,clones
cartoon,royalty,master dueler,clones
cartoon,sci-fi,rex's lab,clones
cartoon,science,rex's lab,clones
cartoon,shrine,samurai hero,clones
cartoon,sidekick,pikamon,clones
cartoon,sleep,snoring monster,clones
cartoon,snake,general viper,clones
cartoon,space,bumpy princess,clones
cartoon,speed,speed demon,clones
cartoon,spirit,mr. beetleson,clones
cartoon,strength,healthy hero,clones
cartoon,sun,singing raisins,clones
cartoon,superhero,planet commander,clones
cartoon,sweets,candy princess,clones
cartoon,sword,stormcat,clones
cartoon,the chosen one,master dueler,clones
cartoon,time,professor beagle,clones
cartoon,toy,my mini horse,clones
cartoon,turkey day,robot turkey,clones
cartoon,turtle,turtle warrior,clones
cartoon,undead,mr. beetleson,clones
cartoon,underground,turtle warrior,clones
cartoon,underwater,robert sponge,clones
cartoon,underwater,spongebob squarepants,infinite-craft
cartoon,vampire,nosferatu duck,clones
cartoon,vehicle,burgermobile,clones
cartoon,villain,the grater,clones
cartoon,void,brain warlord,clones
cartoon,war,winter assassin,clones
cartoon,water,robert sponge,clones
cartoon,wealth,uncle duck,clones
cartoon,weapon,sword prince,clones
cartoon,werewolf,nine tails ninja,clones
cartoon,wind,windmaster eng,clones
cartoon,wings,angel kid,clones
cartoon,wintertide,uncle duck,clones
cartoon,wizard,skeleton overlord,clones
cartoon,wizarding school,death's gift,clones
cartoon,wolf,hungry coyote,clones
castle,clouds,cloud castle,clones
castle,desert,sand castle,little-alchemy
castle,dune,sand castle,little-alchemy
castle,gun,cannon,little-alchemy
castle,gunpowder,cannon,little-alchemy
castle,human,monarch,little-alchemy
castle,kingdom,king,infinite-craft
castle,night,ghost,little-alchemy
castle,palace,kingdom,infinite-craft
castle,sand,sand castle,little-alchemy
castle,story,fairy tale,little-alchemy
castle,time,ruins,little-alchemy
castle,village,town,clones
castle,water,moat,clones
cat,cat,catron,clones
cat,celebration,moshing miles,clones
cat,cheetah,jaguar,clones
cat,chinchilla,cat and mouse,clones
cat,country,egypt,clones
cat,cursed,black cat,clones
cat,darkness,black cat,clones
cat,death,sphinx,clones
cat,demon,black cat,clones
cat,desert,sphinx,clones
cat,destruction,catapult,clones
cat,dog,catdog,clones
cat,dog,doomsday omen,clones
cat,dragon,manticore,clones
cat,earth,sphinx,clones
cat,elf,animal whisperer,clones
cat,energy,stormcat,clones
cat,extraterrestrial,stormcat,clones
cat,fairy,crazy cat person,clones
cat,fairy tale,cheshire cat,clones
cat,fire,nine tailed fox,clones
cat,fish,catfish,clones
cat,fish,skeleton,clones
cat,flower,catnip,little-alchemy
cat,food,pastry cat,clones
cat,fox,lynx,clones
cat,galaxy wars,aquatic alien,clones
cat,giant,catron,clones
cat,golem,sphinx,clones
cat,grass,catnip,little-alchemy
cat,halloween,black cat,clones
cat,hammer,hammertron,clones
cat,hamster,mink,clones
cat,hamster,squirrel,clones
cat,healing,sekhmet,clones
cat,heron,gopher,clones
cat,herring,piranha,clones
cat,holidays,cute carolers,clones
cat,holy water,sekhmet,clones
cat,hopefulness,catron,clones
cat,human,crazy cat person,clones
cat,hybrid,manticore,clones
cat,ice,sabertooth cat,clones
cat,insect,manticore,clones
cat,invention,panther hero,clones
cat,jungle,maneaters,clones
cat,knight,stormcat,clones
cat,knowledge,meowmon,clones
cat,leader,lion,clones
cat,life,sekhmet,clones
cat,love,hey cat,clones
cat,lynx,cheetah,clones
cat,madness,crazy cat person,clones
cat,magic,pastry cat,clones
cat,medieval,griffin,clones
cat,metal,catron,clones
cat,mind control,cute charm,clones
cat,monarch,lion,little-alchemy
cat,monkey,larcenous pets,clones
cat,monster,manticore,clones
cat,moon,black cat,clones
cat,multiples,catron,clones
cat,music,keyboard cat,little-alchemy
cat,mutation,shade kitten,clones
cat,myth,manticore,clones
cat,paper,origami,little-alchemy
cat,parasite,flea,clones
cat,pharaoh,bastet,clones
cat,pig,goat,clones
cat,pig,goat (doodle farm),clones
cat,pirate,larcenous pets,clones
cat,plant,catnip,little-alchemy
cat,plant,pet plant,clones
cat,pocket pet,meowmon,clones
cat,poison,manticore,clones
cat,prehistoric,sabertooth cat,clones
cat,psychic,psychic clone,clones
cat,radiation,manticore,clones
cat,rainbow,pastry cat,clones
cat,rat,dog,clones
cat,rat,dog (doodle farm),clones
cat,robot,catron,clones
cat,rodent,cat and mouse,clones
cat,royal game,king killer,clones
cat,royalty,panther hero,clones
cat,sci-fi,catron,clones
cat,shrine,sphinx,clones
cat,sidekick,meowmon,clones
cat,sleep,cat nap,clones
cat,space,pastry cat,clones
cat,speed,cheetah,clones
cat,strength,lion,clones
cat,sun,cat nap,clones
cat,superhero,stormcat,clones
cat,sweets,pastry cat,clones
cat,sword,stormcat,clones
cat,tale,tom,clones
cat,the chosen one,stormcat,clones
cat,time,sphinx,clones
cat,toy,hey cat,clones
cat,tree,catapult,clones
cat,trident,stormcat,clones
cat,turkey day,fat cat,clones
cat,underwater,catfish,clones
cat,vampire,flea,clones
cat,vehicle,catron,clones
cat,villain,meowmon,clones
cat,void,black cat,clones
cat,war,catapult,clones
cat,water,catfish,clones
cat,water serpent,catfish,clones
cat,wealth,fat cat,clones
cat,weapon,catapult,clones
cat,werewolf,sabertooth cat,clones
cat,wild animal,lion,little-alchemy
cat,wings,manticore,clones
cat,wintertide,cute carolers,clones
cat,wizard,black cat,clones
cat,wizarding school,transmutation,clones
cat,wolf,sabertooth cat,clones
cat,zebra,lemur,clones
cat,zoo,tiger,clones
caterpillar,flowers,cocoon,clones
caterpillar,wheel,caterpillar platform,clones
cauldron,legend,witch,little-alchemy
cauldron,story,witch,little-alchemy
cave,green,moss,infinite-craft
cave,hill,tunnel,little-alchemy
cave,mountain,tunnel,little-alchemy
cave,mountain range,tunnel,little-alchemy
caveman,caveman,cavewoman,infinite-craft
caveman,cowboy,fred flintstone,infinite-craft
caveman,fight,club,infinite-craft
caviar,seaweed,sushi,little-alchemy
caviar,swamp,frog,clones
cd,cd,dvd,clones
celebration,chinchilla,mecha chinzilla,clones
celebration,cursed,thrilling zombie,clones
celebration,death,moshing miles,clones
celebration,demon,vamping vera,clones
celebration,desert,sand raider,clones
celebration,destruction,ella-gant ball,clones
celebration,dog,moshing miles,clones
celebration,dragon,dragon cannon,clones
celebration,earth,gaia,clones
celebration,elf,elf servant,clones
celebration,energy,rampant lucy,clones
celebration,extraterrestrial,xanthar the exultant,clones
celebration,fairy,pixie sugar,clones
celebration,fairy tale,happily ever after,clones
celebration,fire,vamping vera,clones
celebration,fish,everything is cake,clones
celebration,food,everything is cake,clones
celebration,galaxy wars,xanthar the exultant,clones
celebration,giant,ella-gant ball,clones
celebration,golem,fluff puff,clones
celebration,halloween,trick or treater,clones
celebration,hammer,hammer time,clones
celebration,healing,moshing miles,clones
celebration,holidays,harvest,clones
celebration,holy water,fountain of youth,clones
celebration,horn,ella-gant ball,clones
celebration,horse,pinata,clones
celebration,human,mini clone,clones
celebration,hybrid,party animal albert,clones
celebration,ice,puffin' leopold,clones
celebration,immortality,mr. pimm's wild ride,clones
celebration,insect,puffin' leopold,clones
celebration,invention,party animal albert,clones
celebration,jungle,jungle welcoming,clones
celebration,knight,horn of man,clones
celebration,knowledge,alchemical graduate,clones
celebration,leader,pied piper,clones
celebration,life,moshing miles,clones
celebration,love,true love's kiss,clones
celebration,madness,rampant lucy,clones
celebration,magic,alchemical graduate,clones
celebration,martial arts,sniping queen,clones
celebration,medieval,mr. pimm's wild ride,clones
celebration,metal,mecha chinzilla,clones
celebration,mind control,xanthar the exultant,clones
celebration,miniature,musical workers,clones
celebration,monkey,puffin' leopold,clones
celebration,monster,ella-gant ball,clones
celebration,moon,xanthar the exultant,clones
celebration,multiples,fair princess,clones
celebration,music,pb & jelly time,clones
celebration,mutation,party animal albert,clones
celebration,myth,mr. pimm's wild ride,clones
celebration,pirate,the fortune's cookie,clones
celebration,plant,christmas tree,clones
celebration,pocket pet,everything is cake,clones
celebration,poison,party animal albert,clones
celebration,prehistoric,ella-gant ball,clones
celebration,psychic,xanthar the exultant,clones
celebration,radiation,party animal albert,clones
celebration,rainbow,rampant lucy,clones
celebration,relic,mr. pimm's wild ride,clones
celebration,reptile,ella-gant ball,clones
celebration,robot,mecha chinzilla,clones
celebration,rodent,everything is cake,clones
celebration,royal game,mr. pimm's wild ride,clones
celebration,royalty,sniping queen,clones
celebration,sci-fi,rampant lucy,clones
celebration,science,party animal albert,clones
celebration,shrine,candy nation,clones
celebration,sidekick,anna-versary,clones
celebration,sleep,hypnotic singer,clones
celebration,snake,snakes in a can,clones
celebration,space,xanthar the exultant,clones
celebration,speed,mr. pimm's wild ride,clones
celebration,spirit,chilling brina,clones
celebration,strength,ella-gant ball,clones
celebration,sun,vamping vera,clones
celebration,superhero,jumping hero,clones
celebration,sweets,everything is cake,clones
celebration,sword,excalibur,clones
celebration,the chosen one,alchemical graduate,clones
celebration,time,mr. pimm's wild ride,clones
celebration,toy,puffin' leopold,clones
celebration,tree,anna-versary,clones
celebration,trident,sniping queen,clones
celebration,turkey day,everything is cake,clones
celebration,turtle,moshing miles,clones
celebration,undead,moshing miles,clones
celebration,underground,bomb shelter,clones
celebration,vampire,vamping vera,clones
celebration,vehicle,mr. pimm's wild ride,clones
celebration,villain,vamping vera,clones
celebration,void,vamping vera,clones
celebration,war,family reunion,clones
celebration,water,mecha chinzilla,clones
celebration,water serpent,mecha chinzilla,clones
celebration,wealth,uncle duck,clones
celebration,weapon,sniping queen,clones
celebration,werewolf,party animal albert,clones
celebration,wind,puffin' leopold,clones
celebration,wings,puffin' leopold,clones
celebration,wintertide,fairy light festival,clones
celebration,wizard,alchemical graduate,clones
celebration,wizarding school,alchemical graduate,clones
celebration,wolf,party animal albert,clones
celebrity,ghost,ghostbuster,infinite-craft
celebrity,kung fu,bruce lee,infinite-craft
celebrity,music,justin bieber,infinite-craft
celebrity,panda,kung fu panda,infinite-craft
cellophane,glue,duct tape,clones
cellophane,music,audio casette,clones
cellphone,free apps,altruism,clones
cellphone,gift,free apps,clones
cellphone,personal computer,smartphone,clones
cells,water,plankton,clones
cellulose,incomplete factory,paper factory,clones
cellulose,paper factory,paper,clones
cement,water,concrete,clones
cemente,water,concrete,clones
censored,censored,censored,clones
censored,sex,censored,clones
cephalopods,sand,ammonites,clones
cephalopods,water,octopus,clones
ceramics,coin,piggy bank,clones
ceramics,tea leaves,teapot,clones
cereal,container,box,little-alchemy
cereals,metals,grains,clones
cereals,metals,straw,clones
cereals,rodent,hamsters,clones
cereals,water,rice,clones
chain,container,toolbox,little-alchemy
chain,tool,machine,little-alchemy
chain,wheel,bicycle,little-alchemy
chainsaw,forest,wood,little-alchemy
chainsaw,human,lumberjack,little-alchemy
chainsaw,tree,wood,little-alchemy
chair,king,throne,clones
chair,park,bench,clones
chair,pillow,armchair,clones
chair,saw,stool,clones
chameleon,chameleon,egg,little-alchemy
champagne,cork,fireworks,clones
champagne,country,france,clones
change,stone,sculpture,infinite-craft
chaos,diseases,epidemic,clones
chaos,void,astral,clones
chaos,war,terrorism,clones
charcoal,energy,gunpowder,little-alchemy
charcoal,metal,steel,little-alchemy
charcoal,mineral,gunpowder,little-alchemy
charcoal,wood,pencil,little-alchemy
chariot,sky,sun,clones
charity,human,generosity,clones
cheese,dough,pizza,clones;little-alchemy
cheese,farm,mouse,little-alchemy
cheese,fire,fondue,clones
cheese,fish,goldfish,little-alchemy
cheese,hamburger,cheeseburger,little-alchemy
cheese,house,mouse,little-alchemy
cheese,meat,hamburger,little-alchemy
cheese,metal,mousetrap,little-alchemy
cheese,night,moon,little-alchemy
cheese,pasta,mac and cheese,little-alchemy
cheese,sandwich,cheeseburger,little-alchemy
cheese,sky,moon,clones;little-alchemy
cheese,steel,mousetrap,little-alchemy
cheese,toast,grilled cheese,little-alchemy
cheese,tomato,pizza,infinite-craft
cheese,tools,mousetrap,clones
cheese,wall,mouse,little-alchemy
cheese,wheel,pizza,little-alchemy
cheese,wild animal,mouse,little-alchemy
cheese,wood,mousetrap,little-alchemy
cheetah,lynx,leopard,clones
cheetah,seagull,albatross,clones
chemical rubbish,container,chemical waste,clones
chemical rubbish,rodent,rats,clones
chick,chicken,sparrow,clones
chick,mosquito,kiwi,clones
chicken,chicken,egg,little-alchemy
chicken,chicken,rooster,clones
chicken,container,chicken coop,little-alchemy
chicken,corpse,vulture,little-alchemy
chicken,dog,fox,little-alchemy
chicken,egg,dilemma,clones
chicken,egg,philosophy,little-alchemy
chicken,farm,egg,infinite-craft
chicken,fire,chicken grill,clones
chicken,fire,fried chicken,clones
chicken,fire,roast,infinite-craft
chicken,flu,avian flu,clones
chicken,flying,penguin,infinite-craft
chicken,house,chicken coop,little-alchemy
chicken,hut,hen coop,clones
chicken,lake,duck,little-alchemy
chicken,life,egg,clones
chicken,life,egg (alchemy 1000),clones
chicken,liquid,chicken soup,little-alchemy
chicken,morning,rooster,clones
chicken,paper,origami,little-alchemy
chicken,peacock,turkey,clones
chicken,pigeon,peacock,clones
chicken,pond,duck,little-alchemy
chicken,rooster,chick,clones
chicken,sugar,peeps,little-alchemy
chicken,sword,meat,little-alchemy
chicken,tool,meat,little-alchemy
chicken,wall,chicken coop,little-alchemy
chicken,water,chicken soup,little-alchemy
chicken,water,duck,little-alchemy
chicken,wild animal,fox,little-alchemy
chicken,wolf,fox,little-alchemy
chicken coop,dog,fox,little-alchemy
chicken coop,wolf,fox,little-alchemy
chicken wing,container,bucket,little-alchemy
chicken wing,liquid,chicken soup,little-alchemy
chicken wing,water,chicken soup,little-alchemy
chickens,eggs,chicks,clones
chickens,grains,eggs,clones
chickens,swamp,swamp chickens,clones
child,cinema,cartoon,clones
child,life,game,clones
child,wolf,mowgli,clones
child,woman,doll,clones
chili pepper,flag,chile,clones
chimney,house,factory,little-alchemy
chimney,santa,gift,little-alchemy
china,cloth,silk,clones
china,earth,great wall,infinite-craft
china,sword,samurai,infinite-craft
china,warrior,ninja,infinite-craft
chinchilla,cursed,vampchilla,clones
chinchilla,darkness,vampchilla,clones
chinchilla,death,chinzombie,clones
chinchilla,demon,gremlin,clones
chinchilla,desert,dust bath,clones
chinchilla,destruction,chinzilla,clones
chinchilla,earth,dust bath,clones
chinchilla,energy,pikamon,clones
chinchilla,extraterrestrial,alien beastie,clones
chinchilla,fairy,flying squirrel,clones
chinchilla,fairy tale,wiz's apprentice,clones
chinchilla,fish,shark rider,clones
chinchilla,food,gremlin,clones
chinchilla,galaxy wars,chin trooper,clones
chinchilla,giant,chinzilla,clones
chinchilla,halloween,chinzombie,clones
chinchilla,hammer,cat and mouse,clones
chinchilla,healing,care chilla,clones
chinchilla,holidays,chudolph the braindeer,clones
chinchilla,holy water,chinchilla knight,clones
chinchilla,hopefulness,chin trooper,clones
chinchilla,horn,chinchillalope,clones
chinchilla,hybrid,chinchillalope,clones
chinchilla,ice,ice age,clones
chinchilla,immortality,vampchilla,clones
chinchilla,invention,bionic chinchilla,clones
chinchilla,jungle,forest chinchillas,clones
chinchilla,knight,chinchilla knight,clones
chinchilla,knowledge,wiz's apprentice,clones
chinchilla,leader,candy king chin,clones
chinchilla,life,care chilla,clones
chinchilla,love,care chilla,clones
chinchilla,madness,genius and insane,clones
chinchilla,magic,wiz's apprentice,clones
chinchilla,martial arts,ninchilla,clones
chinchilla,medieval,chinchilla knight,clones
chinchilla,metal,bionic chinchilla,clones
chinchilla,mind control,cute charm,clones
chinchilla,miniature,pikamon,clones
chinchilla,monkey,koala,clones
chinchilla,monster,chinzilla,clones
chinchilla,moon,ninchilla,clones
chinchilla,multiples,chin trooper,clones
chinchilla,music,mozart chin,clones
chinchilla,mutation,chinzilla,clones
chinchilla,myth,gremlin,clones
chinchilla,parasite,vampchilla,clones
chinchilla,pirate,larcenous pets,clones
chinchilla,plant,pet plant,clones
chinchilla,pocket pet,bone chin,clones
chinchilla,precious ring lore,forest chinchillas,clones
chinchilla,prehistoric,saberchilla,clones
chinchilla,psychic,animal whisperer,clones
chinchilla,rabbit,kangaroo,clones
chinchilla,radiation,chinzilla,clones
chinchilla,rainbow,care chilla,clones
chinchilla,reptile,gremlin,clones
chinchilla,robot,bionic chinchilla,clones
chinchilla,royalty,candy king chin,clones
chinchilla,sci-fi,chin trooper,clones
chinchilla,science,bionic chinchilla,clones
chinchilla,shrine,evomon,clones
chinchilla,sidekick,wiz's apprentice,clones
chinchilla,space,aviator chin,clones
chinchilla,speed,swift the chin,clones
chinchilla,spirit,rat reaper,clones
chinchilla,strength,bionic chinchilla,clones
chinchilla,sun,dust bath,clones
chinchilla,superhero,wonderful chin,clones
chinchilla,sweets,candy king chin,clones
chinchilla,sword,ninchilla,clones
chinchilla,tarantula,skunk,clones
chinchilla,the chosen one,wiz's apprentice,clones
chinchilla,time,chinzombie,clones
chinchilla,toy,stuffed plushie,clones
chinchilla,tree,flying squirrel,clones
chinchilla,trident,chinchillalope,clones
chinchilla,turkey day,pilgrim chin,clones
chinchilla,turtle,sensei rat,clones
chinchilla,undead,chinzombie,clones
